expected_final_url,origin_url
https://archive.mozilla.org/pub/firefox/candidates/60.0b7-candidates/build1/snap/firefox-60.0b7.snap,https://queue.taskcluster.net/v1/task/GnQu8aO1RSCMhi023t4Bgw/artifacts/public/build/firefox-60.0b7.snap
https://archive.mozilla.org/pub/firefox/candidates/60.0b7-candidates/build1/snap/firefox-60.0b7.snap.checksums,https://queue.taskcluster.net/v1/task/GnQu8aO1RSCMhi023t4Bgw/artifacts/public/build/firefox-60.0b7.snap.checksums
https://archive.mozilla.org/pub/firefox/candidates/60.0b8-candidates/build1/snap/firefox-60.0b8.snap,https://queue.taskcluster.net/v1/task/UglYUwohRd6lc71u9JVLWA/artifacts/public/build/firefox-60.0b8.snap
https://archive.mozilla.org/pub/firefox/candidates/60.0b8-candidates/build1/snap/firefox-60.0b8.snap.checksums,https://queue.taskcluster.net/v1/task/UglYUwohRd6lc71u9JVLWA/artifacts/public/build/firefox-60.0b8.snap.checksums
https://archive.mozilla.org/pub/firefox/candidates/60.0b9-candidates/build1/snap/firefox-60.0b9.snap,https://queue.taskcluster.net/v1/task/X7NEuDbETKi5E8VZPloXYg/artifacts/public/build/firefox-60.0b9.snap
https://archive.mozilla.org/pub/firefox/candidates/60.0b9-candidates/build1/snap/firefox-60.0b9.snap.checksums,https://queue.taskcluster.net/v1/task/X7NEuDbETKi5E8VZPloXYg/artifacts/public/build/firefox-60.0b9.snap.checksums
https://archive.mozilla.org/pub/firefox/candidates/60.0b10-candidates/build1/snap/firefox-60.0b10.snap,https://queue.taskcluster.net/v1/task/OR7f7TJVTcC2YL7GbbMRwA/artifacts/public/build/target.snap
https://archive.mozilla.org/pub/firefox/candidates/60.0b10-candidates/build1/snap/firefox-60.0b10.snap.checksums,https://queue.taskcluster.net/v1/task/OR7f7TJVTcC2YL7GbbMRwA/artifacts/public/build/target.snap.checksums
https://archive.mozilla.org/pub/firefox/candidates/60.0b11-candidates/build2/snap/firefox-60.0b11.snap,https://queue.taskcluster.net/v1/task/dZDgyXECT5qLdeyXwe_VYQ/artifacts/public/build/target.snap
https://archive.mozilla.org/pub/firefox/candidates/60.0b11-candidates/build2/snap/firefox-60.0b11.snap.checksums,https://queue.taskcluster.net/v1/task/dZDgyXECT5qLdeyXwe_VYQ/artifacts/public/build/target.snap.checksums
https://archive.mozilla.org/pub/firefox/candidates/60.0b12-candidates/build1/snap/firefox-60.0b12.snap,https://queue.taskcluster.net/v1/task/BirnAXb5Q32SHJfLUBMv8A/artifacts/public/build/target.snap
https://archive.mozilla.org/pub/firefox/candidates/60.0b12-candidates/build1/snap/firefox-60.0b12.snap.checksums,https://queue.taskcluster.net/v1/task/BirnAXb5Q32SHJfLUBMv8A/artifacts/public/build/target.snap.checksums
https://archive.mozilla.org/pub/firefox/candidates/60.0b13-candidates/build1/snap/firefox-60.0b13.snap,https://queue.taskcluster.net/v1/task/ZHosYNYUQy6Zj3t5NPvJsg/artifacts/public/build/target.snap
https://archive.mozilla.org/pub/firefox/candidates/60.0b13-candidates/build1/snap/firefox-60.0b13.snap.checksums,https://queue.taskcluster.net/v1/task/ZHosYNYUQy6Zj3t5NPvJsg/artifacts/public/build/target.snap.checksums
https://archive.mozilla.org/pub/firefox/candidates/60.0b14-candidates/build2/snap/firefox-60.0b14.snap,https://queue.taskcluster.net/v1/task/RWxm8I7TRGGOJ4rlD8GzpQ/artifacts/public/build/target.snap
https://archive.mozilla.org/pub/firefox/candidates/60.0b14-candidates/build2/snap/firefox-60.0b14.snap.checksums,https://queue.taskcluster.net/v1/task/RWxm8I7TRGGOJ4rlD8GzpQ/artifacts/public/build/target.snap.checksum
https://archive.mozilla.org/pub/firefox/candidates/60.0b15-candidates/build1/snap/firefox-60.0b15.snap,https://queue.taskcluster.net/v1/task/JFj-vckNTQivbhz-1ZWI8A/artifacts/public/build/target.snap
